Timestamp, Temperature[°C], Humidity[%]
2023_06_27_10_59_06, 26.12, 54.41
2023_06_27_10_59_08, 26.16, 54.45
2023_06_27_10_59_10, 26.21, 54.35
2023_06_27_10_59_12, 26.16, 54.18
2023_06_27_10_59_14, 26.14, 54.09
2023_06_27_10_59_16, 26.11, 54.02
2023_06_27_10_59_18, 26.06, 53.99
2023_06_27_10_59_20, 26.06, 54.05
2023_06_27_10_59_22, 26.04, 54.10
2023_06_27_10_59_24, 26.04, 54.13
2023_06_27_10_59_26, 26.11, 54.10
2023_06_27_10_59_28, 26.11, 54.09
2023_06_27_10_59_30, 26.14, 54.01
2023_06_27_10_59_32, 26.16, 53.98
2023_06_27_10_59_34, 26.18, 54.21
2023_06_27_10_59_36, 26.16, 54.35
2023_06_27_10_59_39, 26.24, 54.16
2023_06_27_10_59_41, 26.25, 54.07
2023_06_27_10_59_43, 26.25, 53.99
2023_06_27_10_59_45, 26.25, 53.83
2023_06_27_10_59_47, 26.22, 53.81
2023_06_27_10_59_49, 26.24, 53.78
2023_06_27_10_59_51, 26.25, 53.75
2023_06_27_10_59_53, 26.25, 53.62
2023_06_27_10_59_55, 26.29, 53.61
2023_06_27_10_59_57, 26.29, 53.63
2023_06_27_10_59_59, 26.24, 53.66
2023_06_27_11_00_01, 26.25, 53.87
2023_06_27_11_00_03, 26.25, 54.13
2023_06_27_11_00_05, 26.21, 54.08
2023_06_27_11_00_07, 26.21, 54.07
2023_06_27_11_00_09, 26.22, 54.18
2023_06_27_11_00_11, 26.21, 54.21
2023_06_27_11_00_13, 26.22, 54.27
2023_06_27_11_00_15, 26.25, 54.21
2023_06_27_11_00_17, 26.28, 54.13
2023_06_27_11_00_19, 26.32, 54.07
2023_06_27_11_00_21, 26.31, 53.98
2023_06_27_11_00_23, 26.34, 53.90
2023_06_27_11_00_25, 26.26, 53.84
2023_06_27_11_00_27, 26.28, 53.86
2023_06_27_11_00_29, 26.28, 53.84
2023_06_27_11_00_31, 26.29, 53.77
2023_06_27_11_00_33, 26.31, 53.82
2023_06_27_11_00_35, 26.34, 53.75
2023_06_27_11_00_37, 26.35, 53.60
2023_06_27_11_00_39, 26.38, 53.51
2023_06_27_11_00_41, 26.38, 53.48
2023_06_27_11_00_43, 26.39, 53.45
2023_06_27_11_00_45, 26.32, 53.41
2023_06_27_11_00_47, 26.35, 53.45
2023_06_27_11_00_49, 26.36, 53.43
2023_06_27_11_00_51, 26.34, 53.46
2023_06_27_11_00_53, 26.35, 53.52
2023_06_27_11_00_55, 26.34, 53.53
2023_06_27_11_00_57, 26.35, 53.55
2023_06_27_11_00_59, 26.39, 53.51
2023_06_27_11_01_01, 26.34, 53.46
2023_06_27_11_01_03, 26.31, 53.46
2023_06_27_11_01_05, 26.26, 53.51
2023_06_27_11_01_07, 26.26, 53.62
2023_06_27_11_01_10, 26.26, 53.66
2023_06_27_11_01_12, 26.24, 53.64
2023_06_27_11_01_14, 26.25, 53.63
2023_06_27_11_01_16, 26.24, 53.65
2023_06_27_11_01_18, 26.25, 53.64
2023_06_27_11_01_20, 26.31, 53.55
2023_06_27_11_01_22, 26.32, 53.47
2023_06_27_11_01_24, 26.34, 53.43
2023_06_27_11_01_26, 26.32, 53.37
2023_06_27_11_01_28, 26.35, 53.37
2023_06_27_11_01_30, 26.34, 53.30
2023_06_27_11_01_32, 26.36, 53.25
2023_06_27_11_01_34, 26.39, 53.24
2023_06_27_11_01_36, 26.35, 53.23
2023_06_27_11_01_38, 26.32, 53.34
2023_06_27_11_01_40, 26.35, 53.41
2023_06_27_11_01_42, 26.31, 53.42
2023_06_27_11_01_44, 26.29, 53.49
2023_06_27_11_01_46, 26.25, 53.53
2023_06_27_11_01_48, 26.24, 53.65
2023_06_27_11_01_50, 26.25, 53.66
2023_06_27_11_01_52, 26.25, 53.66
2023_06_27_11_01_54, 26.24, 53.71
2023_06_27_11_01_56, 26.28, 53.64
2023_06_27_11_01_58, 26.32, 53.71
2023_06_27_11_02_00, 26.34, 53.65
2023_06_27_11_02_02, 26.32, 53.52
2023_06_27_11_02_04, 26.29, 53.51
2023_06_27_11_02_06, 26.32, 53.51
2023_06_27_11_02_08, 26.32, 53.51
2023_06_27_11_02_10, 26.35, 53.48
2023_06_27_11_02_12, 26.29, 53.49
2023_06_27_11_02_14, 26.29, 53.54
2023_06_27_11_02_16, 26.24, 53.61
2023_06_27_11_02_18, 26.19, 53.73
2023_06_27_11_02_20, 26.16, 53.81
2023_06_27_11_02_22, 26.15, 53.86
2023_06_27_11_02_24, 26.15, 53.98
2023_06_27_11_02_26, 26.12, 54.01
2023_06_27_11_02_28, 26.09, 54.06
2023_06_27_11_02_30, 26.09, 54.11
2023_06_27_11_02_32, 26.11, 54.18
2023_06_27_11_02_34, 26.08, 54.14
2023_06_27_11_02_36, 26.09, 54.17
2023_06_27_11_02_39, 26.12, 54.11
2023_06_27_11_02_41, 26.09, 54.10
2023_06_27_11_02_43, 26.12, 54.06
2023_06_27_11_02_45, 26.09, 54.24
2023_06_27_11_02_47, 26.09, 54.45
2023_06_27_11_02_49, 26.11, 54.35
2023_06_27_11_02_51, 26.11, 54.30
2023_06_27_11_02_53, 26.12, 54.23
2023_06_27_11_02_55, 26.16, 54.41
2023_06_27_11_02_57, 26.24, 54.58
2023_06_27_11_02_59, 26.19, 54.40
2023_06_27_11_03_01, 26.21, 54.36
2023_06_27_11_03_03, 26.24, 54.22
2023_06_27_11_03_05, 26.21, 54.08
2023_06_27_11_03_07, 26.22, 53.94
2023_06_27_11_03_09, 26.21, 53.91
2023_06_27_11_03_11, 26.16, 53.94
2023_06_27_11_03_13, 26.12, 54.00
2023_06_27_11_03_15, 26.11, 54.01
2023_06_27_11_03_17, 26.09, 54.07
2023_06_27_11_03_19, 26.05, 54.13
2023_06_27_11_03_21, 26.04, 54.14
2023_06_27_11_03_23, 26.01, 54.30
2023_06_27_11_03_25, 26.01, 54.33
2023_06_27_11_03_27, 26.01, 54.38
2023_06_27_11_03_29, 26.01, 54.43
2023_06_27_11_03_31, 26.01, 54.42
2023_06_27_11_03_33, 26.04, 54.36
2023_06_27_11_03_35, 26.04, 54.34
2023_06_27_11_03_37, 26.05, 54.49
2023_06_27_11_03_39, 26.08, 54.81
2023_06_27_11_03_41, 26.09, 54.90
2023_06_27_11_03_43, 26.11, 54.80
2023_06_27_11_03_45, 26.12, 54.75
2023_06_27_11_03_47, 26.09, 54.85
2023_06_27_11_03_49, 26.12, 54.73
2023_06_27_11_03_51, 26.12, 54.66
2023_06_27_11_03_53, 26.16, 54.99
2023_06_27_11_03_55, 26.19, 55.09
2023_06_27_11_03_57, 26.21, 54.98
2023_06_27_11_03_59, 26.22, 54.81
2023_06_27_11_04_01, 26.26, 54.65
2023_06_27_11_04_03, 26.31, 54.47
2023_06_27_11_04_05, 26.35, 54.35
2023_06_27_11_04_07, 26.35, 54.13
2023_06_27_11_04_09, 26.35, 54.11
2023_06_27_11_04_11, 26.36, 54.03
2023_06_27_11_04_13, 26.34, 53.89
2023_06_27_11_04_15, 26.28, 53.82
2023_06_27_11_04_17, 26.28, 53.82
2023_06_27_11_04_20, 26.29, 53.88
2023_06_27_11_04_22, 26.28, 53.94
