Timestamp, Temperature[°C], Humidity[%]
2023_06_30_10_54_14, 24.59, 58.14
2023_06_30_10_54_16, 24.58, 58.12
2023_06_30_10_54_18, 24.55, 58.12
2023_06_30_10_54_20, 24.58, 58.11
2023_06_30_10_54_22, 24.59, 58.11
2023_06_30_10_54_24, 24.62, 58.14
2023_06_30_10_54_26, 24.64, 58.12
2023_06_30_10_54_28, 24.59, 58.04
2023_06_30_10_54_30, 24.62, 58.03
2023_06_30_10_54_32, 24.61, 58.04
2023_06_30_10_54_34, 24.58, 58.02
2023_06_30_10_54_36, 24.59, 58.06
2023_06_30_10_54_38, 24.59, 58.05
2023_06_30_10_54_40, 24.64, 58.07
2023_06_30_10_54_42, 24.64, 58.07
2023_06_30_10_54_44, 24.66, 58.00
2023_06_30_10_54_46, 24.68, 58.03
2023_06_30_10_54_48, 24.71, 57.96
2023_06_30_10_54_50, 24.79, 57.89
2023_06_30_10_54_52, 24.85, 57.80
2023_06_30_10_54_54, 24.89, 57.72
2023_06_30_10_54_56, 24.93, 57.63
2023_06_30_10_54_58, 24.95, 57.51
2023_06_30_10_55_00, 24.92, 57.36
2023_06_30_10_55_02, 25.00, 57.29
2023_06_30_10_55_04, 25.02, 57.24
2023_06_30_10_55_06, 25.00, 57.11
2023_06_30_10_55_08, 24.96, 57.10
2023_06_30_10_55_10, 24.95, 57.09
2023_06_30_10_55_12, 24.92, 57.09
2023_06_30_10_55_14, 24.90, 57.05
2023_06_30_10_55_17, 24.87, 57.12
2023_06_30_10_55_19, 24.85, 57.15
2023_06_30_10_55_21, 24.82, 57.20
2023_06_30_10_55_23, 24.76, 57.22
2023_06_30_10_55_25, 24.74, 57.33
2023_06_30_10_55_27, 24.74, 57.36
2023_06_30_10_55_29, 24.69, 57.43
2023_06_30_10_55_31, 24.69, 57.52
2023_06_30_10_55_33, 24.65, 57.59
2023_06_30_10_55_35, 24.66, 57.64
2023_06_30_10_55_37, 24.65, 57.68
2023_06_30_10_55_39, 24.69, 57.74
2023_06_30_10_55_41, 24.76, 57.78
2023_06_30_10_55_43, 24.76, 57.77
2023_06_30_10_55_45, 24.78, 57.69
2023_06_30_10_55_47, 24.79, 57.58
2023_06_30_10_55_49, 24.82, 57.54
2023_06_30_10_55_51, 24.85, 57.55
2023_06_30_10_55_53, 24.89, 57.51
2023_06_30_10_55_55, 24.90, 57.43
2023_06_30_10_55_57, 24.92, 57.37
2023_06_30_10_55_59, 24.90, 57.25
2023_06_30_10_56_01, 24.92, 57.22
2023_06_30_10_56_03, 24.90, 57.17
2023_06_30_10_56_05, 24.93, 57.16
2023_06_30_10_56_07, 24.93, 57.16
2023_06_30_10_56_09, 24.96, 57.21
2023_06_30_10_56_11, 24.95, 57.15
2023_06_30_10_56_13, 24.95, 57.13
2023_06_30_10_56_15, 24.97, 57.12
2023_06_30_10_56_17, 25.00, 57.26
2023_06_30_10_56_19, 24.96, 57.25
2023_06_30_10_56_21, 24.96, 57.13
2023_06_30_10_56_23, 24.97, 57.10
2023_06_30_10_56_25, 24.90, 57.10
2023_06_30_10_56_27, 24.92, 57.16
2023_06_30_10_56_29, 24.85, 57.13
2023_06_30_10_56_31, 24.83, 57.13
2023_06_30_10_56_33, 24.85, 57.36
2023_06_30_10_56_35, 24.89, 57.71
2023_06_30_10_56_37, 24.89, 57.81
2023_06_30_10_56_39, 24.93, 57.78
2023_06_30_10_56_41, 24.95, 57.81
2023_06_30_10_56_43, 24.89, 57.57
2023_06_30_10_56_45, 24.89, 57.43
2023_06_30_10_56_47, 24.85, 57.36
2023_06_30_10_56_50, 24.82, 57.26
2023_06_30_10_56_52, 24.81, 57.32
2023_06_30_10_56_54, 24.76, 57.33
2023_06_30_10_56_56, 24.76, 57.42
2023_06_30_10_56_58, 24.76, 57.45
2023_06_30_10_57_00, 24.81, 57.53
2023_06_30_10_57_02, 24.83, 57.56
2023_06_30_10_57_04, 24.86, 57.54
2023_06_30_10_57_06, 24.87, 57.49
2023_06_30_10_57_08, 24.92, 57.48
2023_06_30_10_57_10, 24.95, 57.44
2023_06_30_10_57_12, 24.95, 57.37
2023_06_30_10_57_14, 24.99, 57.38
2023_06_30_10_57_16, 25.02, 57.38
2023_06_30_10_57_18, 25.03, 57.33
2023_06_30_10_57_20, 25.09, 57.49
2023_06_30_10_57_22, 25.10, 57.71
2023_06_30_10_57_24, 25.16, 57.54
2023_06_30_10_57_26, 25.23, 57.46
2023_06_30_10_57_28, 25.24, 57.24
2023_06_30_10_57_30, 25.26, 57.23
2023_06_30_10_57_32, 25.27, 57.08
2023_06_30_10_57_34, 25.24, 56.77
2023_06_30_10_57_36, 25.23, 56.60
2023_06_30_10_57_38, 25.24, 56.52
2023_06_30_10_57_40, 25.23, 56.51
2023_06_30_10_57_42, 25.29, 56.49
2023_06_30_10_57_44, 25.23, 56.43
2023_06_30_10_57_46, 25.27, 56.34
2023_06_30_10_57_48, 25.26, 56.37
2023_06_30_10_57_50, 25.26, 56.41
2023_06_30_10_57_52, 25.23, 56.39
2023_06_30_10_57_54, 25.23, 56.43
2023_06_30_10_57_56, 25.22, 56.50
2023_06_30_10_57_58, 25.22, 56.47
2023_06_30_10_58_00, 25.22, 56.53
2023_06_30_10_58_02, 25.23, 56.57
2023_06_30_10_58_04, 25.22, 56.61
2023_06_30_10_58_06, 25.23, 56.53
2023_06_30_10_58_08, 25.23, 56.53
2023_06_30_10_58_10, 25.23, 56.57
2023_06_30_10_58_12, 25.26, 56.58
2023_06_30_10_58_14, 25.26, 56.56
2023_06_30_10_58_16, 25.26, 56.55
2023_06_30_10_58_18, 25.29, 56.60
2023_06_30_10_58_20, 25.23, 56.52
2023_06_30_10_58_22, 25.20, 56.46
2023_06_30_10_58_24, 25.17, 56.42
2023_06_30_10_58_26, 25.16, 56.46
2023_06_30_10_58_28, 25.20, 56.54
2023_06_30_10_58_30, 25.17, 56.50
2023_06_30_10_58_32, 25.20, 56.56
2023_06_30_10_58_34, 25.20, 56.89
2023_06_30_10_58_37, 25.20, 56.94
2023_06_30_10_58_39, 25.19, 56.88
2023_06_30_10_58_41, 25.20, 56.81
2023_06_30_10_58_43, 25.17, 56.78
2023_06_30_10_58_45, 25.16, 56.85
2023_06_30_10_58_47, 25.13, 57.03
2023_06_30_10_58_49, 25.10, 57.04
2023_06_30_10_58_51, 25.12, 57.10
2023_06_30_10_58_53, 25.10, 57.02
2023_06_30_10_58_55, 25.13, 57.00
2023_06_30_10_58_57, 25.09, 57.01
2023_06_30_10_58_59, 25.10, 57.09
2023_06_30_10_59_01, 25.13, 57.09
2023_06_30_10_59_03, 25.12, 57.07
2023_06_30_10_59_05, 25.12, 57.01
2023_06_30_10_59_07, 25.09, 56.98
2023_06_30_10_59_09, 25.06, 56.97
2023_06_30_10_59_11, 25.03, 57.03
2023_06_30_10_59_13, 24.97, 57.11
2023_06_30_10_59_15, 24.97, 57.21
2023_06_30_10_59_17, 24.97, 57.30
2023_06_30_10_59_19, 24.96, 57.30
2023_06_30_10_59_21, 24.97, 57.30
2023_06_30_10_59_23, 24.95, 57.31
2023_06_30_10_59_25, 24.95, 57.28
2023_06_30_10_59_27, 24.97, 57.29
2023_06_30_10_59_29, 24.99, 57.28
2023_06_30_10_59_31, 24.96, 57.24
2023_06_30_10_59_33, 24.97, 57.24
2023_06_30_10_59_35, 24.96, 57.25
2023_06_30_10_59_37, 24.95, 57.20
2023_06_30_10_59_39, 24.95, 57.19
2023_06_30_10_59_41, 24.93, 57.25
2023_06_30_10_59_43, 24.96, 57.32
2023_06_30_10_59_45, 24.92, 57.30
2023_06_30_10_59_47, 24.89, 57.25
2023_06_30_10_59_49, 24.85, 57.35
2023_06_30_10_59_51, 24.85, 57.44
2023_06_30_10_59_53, 24.76, 57.45
2023_06_30_10_59_55, 24.78, 57.55
2023_06_30_10_59_57, 24.79, 57.59
2023_06_30_10_59_59, 24.82, 57.62
2023_06_30_11_00_01, 24.82, 57.60
2023_06_30_11_00_03, 24.81, 57.60
2023_06_30_11_00_05, 24.82, 57.62
2023_06_30_11_00_07, 24.79, 57.59
2023_06_30_11_00_09, 24.81, 57.65
2023_06_30_11_00_11, 24.81, 57.65
2023_06_30_11_00_13, 24.82, 57.62
2023_06_30_11_00_15, 24.82, 57.65
2023_06_30_11_00_17, 24.81, 57.65
2023_06_30_11_00_20, 24.83, 57.72
2023_06_30_11_00_22, 24.85, 57.66
2023_06_30_11_00_24, 24.87, 57.64
2023_06_30_11_00_26, 24.90, 57.61
2023_06_30_11_00_28, 24.93, 57.58
2023_06_30_11_00_30, 24.96, 57.51
2023_06_30_11_00_32, 24.97, 57.41
2023_06_30_11_00_34, 24.96, 57.36
2023_06_30_11_00_36, 24.95, 57.31
2023_06_30_11_00_38, 24.92, 57.30
2023_06_30_11_00_40, 24.99, 57.33
2023_06_30_11_00_42, 25.03, 57.31
2023_06_30_11_00_44, 25.02, 57.26
2023_06_30_11_00_46, 25.02, 57.12
2023_06_30_11_00_48, 25.02, 57.10
2023_06_30_11_00_50, 25.06, 57.08
2023_06_30_11_00_52, 25.07, 57.06
2023_06_30_11_00_54, 25.05, 56.98
2023_06_30_11_00_56, 25.03, 56.97
2023_06_30_11_00_58, 24.99, 56.99
2023_06_30_11_01_00, 24.97, 56.97
2023_06_30_11_01_02, 24.95, 57.01
2023_06_30_11_01_04, 24.90, 57.12
2023_06_30_11_01_06, 24.89, 57.15
2023_06_30_11_01_08, 24.89, 57.22
2023_06_30_11_01_10, 24.92, 57.26
2023_06_30_11_01_12, 24.89, 57.29
2023_06_30_11_01_14, 24.89, 57.31
2023_06_30_11_01_16, 24.85, 57.32
2023_06_30_11_01_18, 24.82, 57.36
2023_06_30_11_01_20, 24.82, 57.40
2023_06_30_11_01_22, 24.81, 57.43
2023_06_30_11_01_24, 24.85, 57.44
2023_06_30_11_01_26, 24.82, 57.46
2023_06_30_11_01_28, 24.83, 57.48
2023_06_30_11_01_30, 24.86, 57.49
2023_06_30_11_01_32, 24.89, 57.46
2023_06_30_11_01_34, 24.95, 57.47
2023_06_30_11_01_36, 24.96, 57.46
2023_06_30_11_01_38, 24.96, 57.36
2023_06_30_11_01_40, 25.00, 57.39
2023_06_30_11_01_42, 25.05, 57.31
2023_06_30_11_01_44, 25.03, 57.23
2023_06_30_11_01_46, 25.05, 57.29
2023_06_30_11_01_48, 25.07, 57.63
2023_06_30_11_01_50, 25.16, 57.63
2023_06_30_11_01_53, 25.19, 57.47
2023_06_30_11_01_55, 25.17, 57.23
2023_06_30_11_01_57, 25.16, 57.00
2023_06_30_11_01_59, 25.17, 56.90
2023_06_30_11_02_01, 25.12, 56.92
2023_06_30_11_02_03, 25.16, 56.94
2023_06_30_11_02_05, 25.12, 56.90
2023_06_30_11_02_07, 25.13, 56.89
2023_06_30_11_02_09, 25.16, 56.94
2023_06_30_11_02_11, 25.16, 56.94
2023_06_30_11_02_13, 25.17, 56.97
2023_06_30_11_02_15, 25.16, 56.93
2023_06_30_11_02_17, 25.20, 56.94
2023_06_30_11_02_19, 25.20, 56.82
2023_06_30_11_02_21, 25.22, 56.74
2023_06_30_11_02_23, 25.24, 56.70
2023_06_30_11_02_25, 25.29, 56.73
2023_06_30_11_02_27, 25.26, 56.62
2023_06_30_11_02_29, 25.27, 56.96
2023_06_30_11_02_31, 25.30, 57.06
2023_06_30_11_02_33, 25.26, 56.88
2023_06_30_11_02_35, 25.23, 56.68
2023_06_30_11_02_37, 25.27, 56.63
2023_06_30_11_02_39, 25.30, 56.60
2023_06_30_11_02_41, 25.37, 56.61
2023_06_30_11_02_43, 25.36, 56.45
2023_06_30_11_02_45, 25.33, 56.37
2023_06_30_11_02_47, 25.30, 56.31
2023_06_30_11_02_49, 25.32, 56.32
2023_06_30_11_02_51, 25.32, 56.40
2023_06_30_11_02_53, 25.32, 56.44
2023_06_30_11_02_55, 25.33, 56.48
2023_06_30_11_02_57, 25.34, 56.44
2023_06_30_11_02_59, 25.38, 56.43
2023_06_30_11_03_01, 25.40, 56.32
2023_06_30_11_03_03, 25.41, 56.30
2023_06_30_11_03_05, 25.36, 56.20
2023_06_30_11_03_07, 25.38, 56.24
2023_06_30_11_03_09, 25.37, 56.21
2023_06_30_11_03_11, 25.36, 56.15
2023_06_30_11_03_13, 25.36, 56.27
2023_06_30_11_03_15, 25.33, 56.28
2023_06_30_11_03_17, 25.32, 56.28
2023_06_30_11_03_19, 25.30, 56.30
2023_06_30_11_03_21, 25.29, 56.29
2023_06_30_11_03_23, 25.27, 56.35
2023_06_30_11_03_25, 25.23, 56.40
2023_06_30_11_03_27, 25.23, 56.37
2023_06_30_11_03_29, 25.22, 56.45
2023_06_30_11_03_32, 25.22, 56.53
2023_06_30_11_03_34, 25.19, 56.60
2023_06_30_11_03_36, 25.17, 56.66
2023_06_30_11_03_38, 25.19, 56.69
2023_06_30_11_03_40, 25.23, 56.72
2023_06_30_11_03_42, 25.20, 56.70
2023_06_30_11_03_44, 25.24, 56.65
2023_06_30_11_03_46, 25.22, 56.69
2023_06_30_11_03_48, 25.23, 56.64
2023_06_30_11_03_50, 25.22, 56.63
2023_06_30_11_03_52, 25.23, 56.66
2023_06_30_11_03_54, 25.27, 56.67
2023_06_30_11_03_56, 25.30, 56.64
2023_06_30_11_03_58, 25.32, 56.59
2023_06_30_11_04_00, 25.30, 56.57
2023_06_30_11_04_02, 25.33, 56.50
2023_06_30_11_04_04, 25.34, 56.46
2023_06_30_11_04_06, 25.34, 56.44
2023_06_30_11_04_08, 25.38, 56.37
2023_06_30_11_04_10, 25.33, 56.28
2023_06_30_11_04_12, 25.32, 56.22
2023_06_30_11_04_14, 25.32, 56.22
2023_06_30_11_04_16, 25.29, 56.23
2023_06_30_11_04_18, 25.30, 56.25
2023_06_30_11_04_20, 25.29, 56.27
2023_06_30_11_04_22, 25.26, 56.32
2023_06_30_11_04_24, 25.24, 56.30
2023_06_30_11_04_26, 25.23, 56.30
2023_06_30_11_04_28, 25.20, 56.35
2023_06_30_11_04_30, 25.16, 56.41
2023_06_30_11_04_32, 25.12, 56.49
