Timestamp, Temperature[°C], Humidity[%]
2023_06_30_12_10_35, 24.93, 58.89
2023_06_30_12_10_37, 24.92, 58.87
2023_06_30_12_10_39, 24.90, 58.93
2023_06_30_12_10_41, 24.93, 58.96
2023_06_30_12_10_43, 24.97, 58.97
2023_06_30_12_10_45, 25.02, 58.90
2023_06_30_12_10_47, 25.07, 58.81
2023_06_30_12_10_49, 25.09, 58.67
2023_06_30_12_10_51, 25.09, 58.63
2023_06_30_12_10_53, 25.09, 58.56
2023_06_30_12_10_55, 25.09, 58.52
2023_06_30_12_10_57, 25.12, 58.55
2023_06_30_12_10_59, 25.13, 58.54
2023_06_30_12_11_01, 25.16, 58.50
2023_06_30_12_11_03, 25.14, 58.42
2023_06_30_12_11_05, 25.17, 58.43
2023_06_30_12_11_07, 25.10, 58.38
2023_06_30_12_11_09, 25.07, 58.42
2023_06_30_12_11_11, 25.03, 58.47
2023_06_30_12_11_13, 25.00, 58.55
2023_06_30_12_11_15, 24.99, 58.62
2023_06_30_12_11_17, 24.96, 58.68
2023_06_30_12_11_19, 24.97, 58.74
2023_06_30_12_11_21, 24.96, 58.76
2023_06_30_12_11_23, 24.97, 58.82
2023_06_30_12_11_25, 24.93, 58.81
2023_06_30_12_11_27, 24.96, 58.81
2023_06_30_12_11_29, 24.96, 58.83
2023_06_30_12_11_31, 24.95, 58.90
2023_06_30_12_11_33, 24.93, 58.85
2023_06_30_12_11_35, 24.90, 58.89
2023_06_30_12_11_37, 24.90, 58.97
2023_06_30_12_11_39, 24.92, 58.98
2023_06_30_12_11_42, 24.90, 58.98
2023_06_30_12_11_44, 24.87, 59.01
2023_06_30_12_11_46, 24.86, 59.07
2023_06_30_12_11_48, 24.90, 59.05
2023_06_30_12_11_50, 24.93, 59.06
2023_06_30_12_11_52, 24.90, 59.00
2023_06_30_12_11_54, 24.97, 59.01
2023_06_30_12_11_56, 25.02, 58.95
2023_06_30_12_11_58, 24.99, 58.86
2023_06_30_12_12_00, 24.99, 58.84
2023_06_30_12_12_02, 24.96, 58.81
2023_06_30_12_12_04, 24.93, 58.83
2023_06_30_12_12_06, 24.97, 58.86
2023_06_30_12_12_08, 24.97, 58.84
2023_06_30_12_12_10, 24.97, 58.86
2023_06_30_12_12_12, 24.99, 58.83
2023_06_30_12_12_14, 25.00, 58.80
2023_06_30_12_12_16, 25.00, 58.74
2023_06_30_12_12_18, 24.99, 58.76
2023_06_30_12_12_20, 25.02, 58.74
2023_06_30_12_12_22, 25.03, 58.70
2023_06_30_12_12_24, 25.00, 58.72
2023_06_30_12_12_26, 25.00, 58.69
2023_06_30_12_12_28, 25.00, 58.77
2023_06_30_12_12_30, 24.96, 58.74
2023_06_30_12_12_32, 24.96, 58.80
2023_06_30_12_12_34, 24.97, 58.85
2023_06_30_12_12_36, 24.95, 58.86
2023_06_30_12_12_38, 24.95, 58.95
2023_06_30_12_12_40, 24.95, 58.96
2023_06_30_12_12_42, 24.92, 58.94
2023_06_30_12_12_44, 24.92, 58.91
2023_06_30_12_12_46, 24.89, 58.95
2023_06_30_12_12_48, 24.89, 58.96
2023_06_30_12_12_50, 24.86, 59.02
2023_06_30_12_12_52, 24.86, 59.08
2023_06_30_12_12_54, 24.90, 59.12
2023_06_30_12_12_56, 24.93, 59.14
2023_06_30_12_12_58, 24.92, 59.10
2023_06_30_12_13_00, 24.92, 59.04
2023_06_30_12_13_02, 24.92, 59.02
2023_06_30_12_13_04, 24.92, 58.99
2023_06_30_12_13_06, 24.95, 59.02
2023_06_30_12_13_08, 24.92, 59.02
2023_06_30_12_13_10, 24.95, 59.01
2023_06_30_12_13_13, 24.97, 58.96
2023_06_30_12_13_15, 24.99, 58.95
2023_06_30_12_13_17, 25.00, 58.95
2023_06_30_12_13_19, 24.99, 58.85
2023_06_30_12_13_21, 24.97, 58.85
2023_06_30_12_13_23, 24.95, 58.87
2023_06_30_12_13_25, 24.97, 58.85
2023_06_30_12_13_27, 24.95, 58.87
2023_06_30_12_13_29, 24.96, 58.84
2023_06_30_12_13_31, 24.97, 58.86
2023_06_30_12_13_33, 24.99, 58.82
2023_06_30_12_13_35, 24.99, 58.82
2023_06_30_12_13_37, 25.02, 58.74
2023_06_30_12_13_39, 24.99, 58.78
