Timestamp, Temperature[°C], Humidity[%]
2023_06_29_11_54_31, 24.11, 47.57
2023_06_29_11_54_33, 24.10, 47.57
2023_06_29_11_54_35, 24.08, 47.54
2023_06_29_11_54_37, 24.10, 47.61
2023_06_29_11_54_39, 24.05, 47.64
2023_06_29_11_54_41, 24.04, 47.60
2023_06_29_11_54_43, 24.03, 47.63
2023_06_29_11_54_45, 24.01, 47.69
2023_06_29_11_54_47, 24.01, 47.65
2023_06_29_11_54_49, 24.03, 47.68
2023_06_29_11_54_51, 24.01, 47.71
2023_06_29_11_54_53, 24.01, 47.72
2023_06_29_11_54_55, 23.95, 47.74
2023_06_29_11_54_57, 23.97, 47.75
2023_06_29_11_54_59, 23.98, 47.77
2023_06_29_11_55_01, 23.97, 47.78
2023_06_29_11_55_03, 23.98, 47.81
2023_06_29_11_55_05, 23.97, 47.75
2023_06_29_11_55_07, 23.98, 47.78
2023_06_29_11_55_09, 24.01, 47.82
2023_06_29_11_55_11, 24.04, 47.80
2023_06_29_11_55_13, 24.08, 47.81
2023_06_29_11_55_15, 24.10, 47.73
2023_06_29_11_55_17, 24.10, 47.67
2023_06_29_11_55_19, 24.11, 47.61
2023_06_29_11_55_21, 24.08, 47.59
2023_06_29_11_55_23, 24.10, 47.53
2023_06_29_11_55_25, 24.10, 47.51
2023_06_29_11_55_27, 24.10, 47.54
2023_06_29_11_55_29, 24.11, 47.56
2023_06_29_11_55_31, 24.07, 47.50
2023_06_29_11_55_33, 24.11, 47.51
2023_06_29_11_55_35, 24.11, 47.57
2023_06_29_11_55_37, 24.13, 47.52
2023_06_29_11_55_39, 24.11, 47.53
2023_06_29_11_55_41, 24.13, 47.52
2023_06_29_11_55_43, 24.13, 47.51
2023_06_29_11_55_45, 24.10, 47.48
2023_06_29_11_55_48, 24.14, 47.49
2023_06_29_11_55_50, 24.11, 47.50
2023_06_29_11_55_52, 24.13, 47.52
2023_06_29_11_55_54, 24.11, 47.53
2023_06_29_11_55_56, 24.10, 47.49
2023_06_29_11_55_58, 24.11, 47.57
2023_06_29_11_56_00, 24.14, 47.64
2023_06_29_11_56_02, 24.20, 47.66
2023_06_29_11_56_04, 24.25, 47.64
2023_06_29_11_56_06, 24.24, 47.89
2023_06_29_11_56_08, 24.23, 47.63
2023_06_29_11_56_10, 24.27, 47.65
2023_06_29_11_56_12, 24.21, 47.75
2023_06_29_11_56_14, 24.20, 47.57
2023_06_29_11_56_16, 24.18, 47.53
2023_06_29_11_56_18, 24.17, 47.48
2023_06_29_11_56_20, 24.14, 47.43
2023_06_29_11_56_22, 24.13, 47.42
2023_06_29_11_56_24, 24.13, 47.43
2023_06_29_11_56_26, 24.13, 47.42
2023_06_29_11_56_28, 24.08, 47.48
2023_06_29_11_56_30, 24.11, 47.48
2023_06_29_11_56_32, 24.15, 47.46
2023_06_29_11_56_34, 24.14, 47.41
2023_06_29_11_56_36, 24.14, 47.46
2023_06_29_11_56_38, 24.15, 47.44
2023_06_29_11_56_40, 24.18, 47.46
2023_06_29_11_56_42, 24.15, 47.49
2023_06_29_11_56_44, 24.20, 47.47
2023_06_29_11_56_46, 24.24, 47.45
2023_06_29_11_56_48, 24.23, 47.43
2023_06_29_11_56_50, 24.20, 47.39
2023_06_29_11_56_52, 24.21, 47.33
2023_06_29_11_56_54, 24.18, 47.33
2023_06_29_11_56_56, 24.18, 47.34
2023_06_29_11_56_58, 24.20, 47.72
2023_06_29_11_57_00, 24.21, 47.75
2023_06_29_11_57_02, 24.23, 47.58
2023_06_29_11_57_04, 24.25, 47.55
2023_06_29_11_57_06, 24.24, 47.49
2023_06_29_11_57_08, 24.24, 47.41
2023_06_29_11_57_10, 24.23, 47.36
2023_06_29_11_57_12, 24.24, 47.28
2023_06_29_11_57_14, 24.21, 47.30
2023_06_29_11_57_16, 24.25, 47.20
2023_06_29_11_57_18, 24.25, 47.30
2023_06_29_11_57_20, 24.25, 47.30
2023_06_29_11_57_22, 24.30, 47.32
2023_06_29_11_57_24, 24.34, 47.30
2023_06_29_11_57_26, 24.34, 47.27
2023_06_29_11_57_28, 24.32, 47.18
2023_06_29_11_57_30, 24.25, 47.12
2023_06_29_11_57_32, 24.28, 47.07
2023_06_29_11_57_34, 24.25, 47.11
2023_06_29_11_57_36, 24.23, 47.13
2023_06_29_11_57_38, 24.24, 47.12
2023_06_29_11_57_40, 24.23, 47.14
2023_06_29_11_57_42, 24.21, 47.14
2023_06_29_11_57_44, 24.24, 47.19
2023_06_29_11_57_46, 24.23, 47.22
2023_06_29_11_57_48, 24.23, 47.18
2023_06_29_11_57_50, 24.21, 47.19
2023_06_29_11_57_52, 24.23, 47.24
2023_06_29_11_57_54, 24.21, 47.24
2023_06_29_11_57_56, 24.23, 47.25
2023_06_29_11_57_58, 24.20, 47.20
2023_06_29_11_58_00, 24.21, 47.22
2023_06_29_11_58_02, 24.20, 47.21
2023_06_29_11_58_04, 24.20, 47.19
2023_06_29_11_58_06, 24.21, 47.23
2023_06_29_11_58_08, 24.21, 47.23
2023_06_29_11_58_10, 24.21, 47.23
2023_06_29_11_58_12, 24.18, 47.21
2023_06_29_11_58_14, 24.20, 47.25
2023_06_29_11_58_16, 24.20, 47.25
2023_06_29_11_58_19, 24.18, 47.28
2023_06_29_11_58_21, 24.18, 47.21
2023_06_29_11_58_23, 24.17, 47.26
2023_06_29_11_58_25, 24.14, 47.27
2023_06_29_11_58_27, 24.15, 47.23
2023_06_29_11_58_29, 24.15, 47.28
2023_06_29_11_58_31, 24.13, 47.29
2023_06_29_11_58_33, 24.15, 47.26
2023_06_29_11_58_35, 24.08, 47.31
2023_06_29_11_58_37, 24.14, 47.34
2023_06_29_11_58_39, 24.13, 47.33
2023_06_29_11_58_41, 24.13, 47.34
2023_06_29_11_58_43, 24.15, 47.32
2023_06_29_11_58_45, 24.17, 47.35
2023_06_29_11_58_47, 24.17, 47.35
2023_06_29_11_58_49, 24.11, 47.34
2023_06_29_11_58_51, 24.14, 47.40
2023_06_29_11_58_53, 24.11, 47.35
2023_06_29_11_58_55, 24.11, 47.39
2023_06_29_11_58_57, 24.13, 47.39
2023_06_29_11_58_59, 24.13, 47.44
2023_06_29_11_59_01, 24.14, 47.40
2023_06_29_11_59_03, 24.14, 47.43
2023_06_29_11_59_05, 24.15, 47.41
2023_06_29_11_59_07, 24.14, 47.41
2023_06_29_11_59_09, 24.11, 47.39
2023_06_29_11_59_11, 24.14, 47.40
2023_06_29_11_59_13, 24.15, 47.47
2023_06_29_11_59_15, 24.20, 47.53
2023_06_29_11_59_17, 24.21, 47.86
2023_06_29_11_59_19, 24.23, 47.85
