Timestamp, Temperature[�C], Humidity[%]
2023_07_18_10_43_59, 25.96, 63.83
2023_07_18_10_44_01, 25.94, 63.84
2023_07_18_10_44_03, 25.92, 63.88
2023_07_18_10_44_05, 25.94, 63.96
2023_07_18_10_44_07, 25.92, 64.00
2023_07_18_10_44_09, 25.96, 63.94
2023_07_18_10_44_11, 25.96, 63.91
2023_07_18_10_44_13, 25.99, 63.89
2023_07_18_10_44_15, 25.95, 63.87
2023_07_18_10_44_17, 25.95, 63.81
2023_07_18_10_44_19, 25.98, 63.82
2023_07_18_10_44_21, 25.98, 63.86
2023_07_18_10_44_23, 25.98, 63.82
2023_07_18_10_44_25, 26.02, 63.83
2023_07_18_10_44_27, 26.01, 63.77
2023_07_18_10_44_29, 25.98, 63.77
2023_07_18_10_44_31, 25.99, 63.77
2023_07_18_10_44_33, 25.98, 63.75
2023_07_18_10_44_35, 26.02, 63.76
2023_07_18_10_44_37, 26.05, 63.76
2023_07_18_10_44_39, 26.01, 63.69
2023_07_18_10_44_41, 26.01, 63.67
2023_07_18_10_44_43, 26.01, 63.70
2023_07_18_10_44_45, 26.02, 63.72
2023_07_18_10_44_47, 26.01, 63.66
2023_07_18_10_44_49, 26.01, 63.69
2023_07_18_10_44_51, 26.01, 63.70
2023_07_18_10_44_53, 26.05, 63.70
2023_07_18_10_44_55, 26.02, 63.68
2023_07_18_10_44_58, 25.98, 63.73
2023_07_18_10_45_00, 26.01, 63.70
2023_07_18_10_45_02, 26.02, 63.73
2023_07_18_10_45_04, 26.04, 63.70
2023_07_18_10_45_06, 26.02, 63.67
2023_07_18_10_45_08, 26.04, 63.68
2023_07_18_10_45_10, 26.08, 63.71
2023_07_18_10_45_12, 26.09, 63.60
2023_07_18_10_45_14, 26.09, 63.59
2023_07_18_10_45_16, 26.14, 63.60
2023_07_18_10_45_18, 26.19, 63.50
2023_07_18_10_45_20, 26.19, 63.41
2023_07_18_10_45_22, 26.21, 63.38
2023_07_18_10_45_24, 26.26, 63.28
2023_07_18_10_45_26, 26.26, 63.20
2023_07_18_10_45_28, 26.26, 63.13
2023_07_18_10_45_30, 26.25, 63.10
2023_07_18_10_45_32, 26.22, 63.11
2023_07_18_10_45_34, 26.22, 63.14
